year,agreement_variance,mean_agreement,median_agreement,min_agreement,max_agreement,agreement_range,n_pairs,n_cases,avg_direction,pct_5_4,pct_unanimous,dissent_rate
1946,0.22176749396588033,0.6681596091205207,1,0,1,1,4912,142,1.5620860927152318,16.901408450704224,39.436619718309856,17.971246006389777
1947,0.24029547285043554,0.5988127627999054,1,0,1,1,4043,118,1.6105054509415262,21.1864406779661,33.05084745762712,20.869565217391305
1948,0.24466335291459765,0.5734297333935842,1,0,1,1,4426,127,1.5572232645403377,25.196850393700785,28.346456692913385,22.597864768683273
1949,0.21975993210200886,0.6741284403669735,1,0,1,1,2725,100,1.4597402597402598,2,33,14.993646759847524
1950,0.23083973505007546,0.6386627906976754,1,0,1,1,3440,103,1.5221027479091995,14.563106796116504,33.00970873786408,18.029115341545353
1951,0.2344679706958993,0.6249217282404504,1,0,1,1,3194,100,1.478818998716303,10.011123470522804,25.027808676307007,19.45754716981132
1952,0.23498274465740115,0.6227810650887564,1,0,1,1,4056,122,1.472636815920398,5.737704918032787,20.491803278688526,19.0521327014218
1953,0.22206704079762382,0.6673625608907447,1,0,1,1,2874,87,1.5243243243243243,10.344827586206897,35.63218390804598,18.266666666666666
1954,0.20724922496755488,0.7069390630503694,1,0,1,1,2839,98,1.6583442838370566,1.0843373493975903,43.25301204819277,14.842767295597485
1955,0.2134374109551223,0.6913683041909557,1,0,1,1,3603,106,1.6441647597254005,15.09433962264151,43.39622641509434,17.25997842502697
1956,0.23597695545526048,0.6186673321687044,1,0,1,1,4007,127,1.6265402843601895,12.687224669603525,27.488986784140966,20.07469654528478
1957,0.23355679452931177,0.6283982365907426,1,0,1,1,5444,155,1.5913818722139672,19.35483870967742,27.09677419354839,20.53701015965167
1958,0.22009088987529096,0.673076923076923,1,0,1,1,4732,139,1.6254266211604096,16.546762589928058,42.44604316546763,17.68092105263158
1959,0.23788839598917932,0.6102801769538663,1,0,1,1,4747,136,1.6204564666103127,19.11764705882353,30.14705882352941,20.08298755186722
1960,0.23659227977512584,0.6160016454134114,1,0,1,1,4862,139,1.5782537067545306,19.424460431654676,31.654676258992804,19.626926196269263
1961,0.2353142332829637,0.6214757048590285,1,0,1,1,3334,118,1.643702906350915,4.253308128544423,35.72778827977316,15.92356687898089
1962,0.21705107358266187,0.6816274402481307,1,0,1,1,5481,158,1.6931486880466473,8.860759493670885,38.607594936708864,14.613180515759314
1963,0.21655891760752136,0.6829608938547522,1,0,1,1,6444,183,1.7041078305519897,9.289617486338798,37.15846994535519,14.119091467157766
1964,0.22905712493051963,0.6448882135880182,1,0,1,1,4607,134,1.6519823788546255,7.468879668049793,41.82572614107884,13.073005093378608
1965,0.21668825826289445,0.6826397646069798,1,0,1,1,4758,141,1.6266778523489933,10.638297872340425,43.262411347517734,13.517915309446254
1966,0.23487216350533,0.6231827111984242,1,0,1,1,5090,147,1.6088992974238876,17.687074829931973,27.89115646258503,20.046260601387818
1967,0.231852410908787,0.634848246579651,1,0,1,1,6359,197,1.6868437306979618,2.030456852791878,33.50253807106599,13.750000000000002
1968,0.2393049512006242,0.6036793095616639,1,0,1,1,4403,140,1.6266318537859008,5.180921052631579,34.95065789473684,15.351993214588635
1969,0.23793867364672217,0.6101073579471064,1,0,1,1,3819,141,1.5262154432793136,0,36.46551724137931,15.884476534296029
