justiceName_1,justiceName_2,times_voted_together,total_cases,agreement_rate
ACBarrett,BMKavanaugh,173,247,0.7004048582995951
ACBarrett,CThomas,142,247,0.5748987854251012
ACBarrett,EKagan,141,247,0.5708502024291497
ACBarrett,JGRoberts,177,247,0.7165991902834008
ACBarrett,KBJackson,56,117,0.47863247863247865
ACBarrett,NMGorsuch,137,247,0.5546558704453441
ACBarrett,SAAlito,155,247,0.6275303643724697
ACBarrett,SGBreyer,62,130,0.47692307692307695
ACBarrett,SSotomayor,124,247,0.5020242914979757
AFortas,BRWhite,355,581,0.6110154905335629
AFortas,EWarren,434,581,0.7469879518072289
AFortas,HLBlack,315,581,0.54216867469879515
AFortas,JHarlan2,256,581,0.4406196213425129
AFortas,PStewart,335,581,0.576592082616179
AFortas,TCClark,170,288,0.5902777777777778
AFortas,TMarshall,158,293,0.5392491467576792
AFortas,WJBrennan,430,581,0.7401032702237521
AFortas,WODouglas,385,581,0.6626506024096386
AJGoldberg,BRWhite,307,475,0.6463157894736842
AJGoldberg,EWarren,369,475,0.7768421052631579
AJGoldberg,HLBlack,311,475,0.6547368421052632
AJGoldberg,JHarlan2,213,475,0.44842105263157894
AJGoldberg,PStewart,315,475,0.6631578947368421
AJGoldberg,TCClark,273,474,0.5759493670886076
AJGoldberg,WJBrennan,371,475,0.7810526315789473
AJGoldberg,WODouglas,316,475,0.6652631578947369
AMKennedy,AScalia,1775,2673,0.6640478862701085
AMKennedy,BRWhite,510,786,0.648854961832061
AMKennedy,CThomas,1508,2334,0.6461011139674379
AMKennedy,DHSouter,1139,1753,0.6497432972047917
AMKennedy,EKagan,427,616,0.6931818181818182
AMKennedy,HABlackmun,427,883,0.48357870894677235
AMKennedy,JGRoberts,789,1027,0.7682570593963
AMKennedy,JPStevens,1150,2267,0.5072783414203793
AMKennedy,NMGorsuch,60,120,0.5
AMKennedy,RBGinsburg,1309,2096,0.6245229007633588
AMKennedy,SAAlito,693,1001,0.6923076923076923
AMKennedy,SDOConnor,1313,1880,0.698404255319149
AMKennedy,SGBreyer,1274,1998,0.6376376376376376
